point cloud with 103 points in dimension 3
value range: [3.71198,33.8248]
sparse distance matrix with 103 points and 4123/5304 entries
persistence intervals in dim 0:
 [0,3.71198)
 [0,3.72752)
 [0,3.73833)
 [0,3.74111)
 [0,3.74438)
 [0,3.74745)
 [0,3.74947)
 [0,3.74953)
 [0,3.75161)
 [0,3.75626)
 [0,3.75797)
 [0,3.75947)
 [0,3.75982)
 [0,3.76396)
 [0,3.76406)
 [0,3.76829)
 [0,3.76847)
 [0,3.76881)
 [0,3.76905)
 [0,3.77098)
 [0,3.77155)
 [0,3.77559)
 [0,3.77575)
 [0,3.77578)
 [0,3.77581)
 [0,3.77716)
 [0,3.77753)
 [0,3.77907)
 [0,3.77914)
 [0,3.77959)
 [0,3.77965)
 [0,3.7802)
 [0,3.78079)
 [0,3.78303)
 [0,3.78304)
 [0,3.78332)
 [0,3.78372)
 [0,3.78387)
 [0,3.78391)
 [0,3.78475)
 [0,3.78544)
 [0,3.78544)
 [0,3.78583)
 [0,3.78588)
 [0,3.78616)
 [0,3.78698)
 [0,3.78755)
 [0,3.78767)
 [0,3.78795)
 [0,3.78818)
 [0,3.78885)
 [0,3.78983)
 [0,3.79143)
 [0,3.79172)
 [0,3.79402)
 [0,3.79486)
 [0,3.79549)
 [0,3.79615)
 [0,3.79722)
 [0,3.79754)
 [0,3.79814)
 [0,3.79867)
 [0,3.80145)
 [0,3.8017)
 [0,3.80339)
 [0,3.80354)
 [0,3.80388)
 [0,3.8053)
 [0,3.80556)
 [0,3.80565)
 [0,3.80777)
 [0,3.80777)
 [0,3.80941)
 [0,3.80959)
 [0,3.8109)
 [0,3.81103)
 [0,3.81139)
 [0,3.81255)
 [0,3.8127)
 [0,3.81451)
 [0,3.81543)
 [0,3.8162)
 [0,3.81628)
 [0,3.81678)
 [0,3.81688)
 [0,3.81732)
 [0,3.81754)
 [0,3.81857)
 [0,3.81873)
 [0,3.81961)
 [0,3.81971)
 [0,3.81996)
 [0,3.82177)
 [0,3.82179)
 [0,3.82197)
 [0,3.822)
 [0,3.82398)
 [0,3.82763)
 [0,3.8402)
 [0,3.84107)
 [0,3.85167)
 [0,3.85792)
 [0, )
persistence intervals in dim 1:
 [8.98287,9.59069)
 [7.2589,8.80979)
 [6.94815,7.68088)
 [6.47505,7.14461)
 [6.40882,7.07181)
 [6.13446,6.34767)
 [6.117,8.83004)
 [6.01665,6.44554)
 [5.78761,5.94038)
 [5.57795,10.384)
 [5.45313,5.48976)
 [5.4529,5.59745)
 [5.41714,5.58559)
 [5.39541,5.41376)
 [5.37563,5.56882)
 [5.3482,5.45699)
 [5.30955,5.48691)
 [5.29956,5.44832)
 [5.25882,5.45176)
 [5.24816,5.3892)
 [5.19507,5.39713)
 [5.11448,5.35888)
 [5.11181,5.30246)
 [5.1115,5.31413)
 [5.10687,5.40875)
 [5.10583,5.63083)
 [5.09998,5.3207)
 [5.08774,5.30414)
 [5.06374,5.44795)
 [5.06219,5.39713)
 [5.04259,5.3207)
 [5.02646,5.49381)
 [5.01969,5.3274)
 [4.99997,5.3274)
 [4.99814,5.30414)
 [4.99531,5.74255)
 [4.994,5.30246)
 [4.98468,5.35025)
 [4.98444,5.44492)
 [4.9765,5.31413)
 [4.9645,5.49381)
 [4.94893,5.65904)
 [4.89858,5.22963)
 [4.88923,5.37902)
 [4.87418,5.44832)
 [4.80412,5.77126)
 [4.80303,7.00053)
 [4.70971,5.94646)
 [4.6274,7.71054)
 [4.53896,6.17345)
 [4.53544,5.76923)
 [4.49405,8.06924)
 [4.3617,8.23279)
 [4.34503,5.35025)
 [3.87112,9.77896)
 [3.86691,5.89353)
persistence intervals in dim 2:
 [10.6059,13.9644)
 [7.90115,7.96504)
 [6.85745,6.95647)
 [5.89353,6.30033)
