radius,betti0_Snapshot,spec0_Snapshot
0.0000,20,0.0000
0.0050,20,0.0000
0.0100,20,0.0000
0.0150,20,0.0000
0.0200,20,0.0000
0.0250,20,0.0000
0.0300,20,0.0000
0.0350,20,0.0000
0.0400,20,0.0000
0.0450,20,0.0000
0.0500,20,0.0000
0.0550,20,0.0000
0.0600,20,0.0000
0.0650,20,0.0000
0.0700,20,0.0000
0.0750,20,0.0000
0.0800,20,0.0000
0.0850,20,0.0000
0.0900,20,0.0000
0.0950,20,0.0000
0.1000,20,0.0000
0.1050,20,0.0000
0.1100,20,0.0000
0.1150,20,0.0000
0.1200,20,0.0000
0.1250,20,0.0000
0.1300,20,0.0000
0.1350,20,0.0000
0.1400,20,0.0000
0.1450,20,0.0000
0.1500,20,0.0000
0.1550,20,0.0000
0.1600,20,0.0000
0.1650,20,0.0000
0.1700,20,0.0000
0.1750,20,0.0000
0.1800,20,0.0000
0.1850,20,0.0000
0.1900,20,0.0000
0.1950,20,0.0000
0.2000,20,0.0000
0.2050,20,0.0000
0.2100,20,0.0000
0.2150,20,0.0000
0.2200,20,0.0000
0.2250,20,0.0000
0.2300,20,0.0000
0.2350,20,0.0000
0.2400,20,0.0000
0.2450,20,0.0000
0.2500,20,0.0000
0.2550,20,0.0000
0.2600,20,0.0000
0.2650,20,0.0000
0.2700,20,0.0000
0.2750,20,0.0000
0.2800,20,0.0000
0.2850,20,0.0000
0.2900,20,0.0000
0.2950,20,0.0000
0.3000,20,0.0000
0.3050,20,0.0000
0.3100,20,0.0000
0.3150,20,0.0000
0.3200,20,0.0000
0.3250,20,0.0000
0.3300,20,0.0000
0.3350,20,0.0000
0.3400,20,0.0000
0.3450,20,0.0000
0.3500,20,0.0000
0.3550,20,0.0000
0.3600,20,0.0000
0.3650,20,0.0000
0.3700,20,0.0000
0.3750,20,0.0000
0.3800,20,0.0000
0.3850,20,0.0000
0.3900,20,0.0000
0.3950,20,0.0000
0.4000,20,0.0000
0.4050,20,0.0000
0.4100,20,0.0000
0.4150,20,0.0000
0.4200,20,0.0000
0.4250,20,0.0000
0.4300,20,0.0000
0.4350,20,0.0000
0.4400,20,0.0000
0.4450,20,0.0000
0.4500,20,0.0000
0.4550,20,0.0000
0.4600,20,0.0000
0.4650,20,0.0000
0.4700,20,0.0000
0.4750,20,0.0000
0.4800,20,0.0000
0.4850,20,0.0000
0.4900,20,0.0000
0.4950,20,0.0000
0.5000,20,0.0000
0.5050,20,0.0000
0.5100,20,0.0000
0.5150,20,0.0000
0.5200,20,0.0000
0.5250,20,0.0000
0.5300,20,0.0000
0.5350,20,0.0000
0.5400,20,0.0000
0.5450,20,0.0000
0.5500,20,0.0000
0.5550,20,0.0000
0.5600,20,0.0000
0.5650,20,0.0000
0.5700,20,0.0000
0.5750,20,0.0000
0.5800,20,0.0000
0.5850,20,0.0000
0.5900,20,0.0000
0.5950,20,0.0000
0.6000,20,0.0000
0.6050,20,0.0000
0.6100,20,0.0000
0.6150,20,0.0000
0.6200,20,0.0000
0.6250,20,0.0000
0.6300,20,0.0000
0.6350,20,0.0000
0.6400,20,0.0000
0.6450,20,0.0000
0.6500,20,0.0000
0.6550,20,0.0000
0.6600,20,0.0000
0.6650,20,0.0000
0.6700,20,0.0000
0.6750,1,0.7639
0.6800,1,0.7639
0.6850,1,0.7639
0.6900,1,0.7639
0.6950,1,0.7639
0.7000,1,0.7639
0.7050,1,0.7639
0.7100,1,0.7639
0.7150,1,0.7639
0.7200,1,0.7639
0.7250,1,0.7639
0.7300,1,0.7639
0.7350,1,0.7639
0.7400,1,0.7639
0.7450,1,0.7639
0.7500,1,0.7639
0.7550,1,0.7639
0.7600,1,0.7639
0.7650,1,0.7639
0.7700,1,0.7639
0.7750,1,0.7639
0.7800,1,0.7639
0.7850,1,0.7639
0.7900,1,0.7639
0.7950,1,0.7639
0.8000,1,0.7639
0.8050,1,0.7639
0.8100,1,0.7639
0.8150,1,0.7639
0.8200,1,0.7639
0.8250,1,0.7639
0.8300,1,0.7639
0.8350,1,0.7639
0.8400,1,0.7639
0.8450,1,0.7639
0.8500,1,0.7639
0.8550,1,0.7639
0.8600,1,0.7639
0.8650,1,0.7639
0.8700,1,0.7639
0.8750,1,0.7639
0.8800,1,0.7639
0.8850,1,0.7639
0.8900,1,0.7639
0.8950,1,0.7639
0.9000,1,0.7639
0.9050,1,0.7639
0.9100,1,0.7639
0.9150,1,0.7639
0.9200,1,0.7639
0.9250,1,0.7639
0.9300,1,0.7639
0.9350,1,0.7639
0.9400,1,0.7639
0.9450,1,0.7639
0.9500,1,0.7639
0.9550,1,0.7639
0.9600,1,0.7639
0.9650,1,0.7639
0.9700,1,0.7639
0.9750,1,0.7639
0.9800,1,0.7639
0.9850,1,0.7639
0.9900,1,0.7639
0.9950,1,0.7639
1.0000,1,0.7639
1.0050,1,0.7639
1.0100,1,0.7639
1.0150,1,0.7639
1.0200,1,0.7639
1.0250,1,0.7639
1.0300,1,0.7639
1.0350,1,0.7639
1.0400,1,0.7639
1.0450,1,0.7639
1.0500,1,0.7639
1.0550,1,0.7639
1.0600,1,0.7639
1.0650,1,0.7639
1.0700,1,0.7639
1.0750,1,0.7639
1.0800,1,0.7639
1.0850,1,0.7639
1.0900,1,0.7639
1.0950,1,0.7639
1.1000,1,0.7639
1.1050,1,0.7639
1.1100,1,0.7639
1.1150,1,0.7639
1.1200,1,0.7639
1.1250,1,4.7639
1.1300,1,4.7639
1.1350,1,4.7639
1.1400,1,4.7639
1.1450,1,4.7639
1.1500,1,4.7639
1.1550,1,4.7639
1.1600,1,4.7639
1.1650,1,4.7639
1.1700,1,4.7639
1.1750,1,4.7639
1.1800,1,4.7639
1.1850,1,4.7639
1.1900,1,4.7639
1.1950,1,4.7639
1.2000,1,4.7639
1.2050,1,4.7639
1.2100,1,4.7639
1.2150,1,4.7639
1.2200,1,4.7639
1.2250,1,4.7639
1.2300,1,4.7639
1.2350,1,4.7639
1.2400,1,4.7639
1.2450,1,4.7639
1.2500,1,4.7639
1.2550,1,4.7639
1.2600,1,4.7639
1.2650,1,4.7639
1.2700,1,4.7639
1.2750,1,4.7639
1.2800,1,4.7639
1.2850,1,4.7639
1.2900,1,4.7639
1.2950,1,4.7639
1.3000,1,4.7639
1.3050,1,4.7639
1.3100,1,4.7639
1.3150,1,4.7639
1.3200,1,4.7639
1.3250,1,4.7639
1.3300,1,4.7639
1.3350,1,4.7639
1.3400,1,4.7639
1.3450,1,4.7639
1.3500,1,4.7639
1.3550,1,4.7639
1.3600,1,4.7639
