point cloud with 60 points in dimension 3
value range: [1.36957,7.03462]
sparse distance matrix with 60 points and 1752/1799 entries
persistence intervals in dim 0:
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.3696)
 [0,1.3696)
 [0,1.3696)
 [0,1.3696)
 [0,1.3696)
 [0,1.3696)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0, )
persistence intervals in dim 1:
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.43988)
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.43988)
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.43988)
 [1.44743,2.43988)
 [1.44743,2.34198)
 [1.44743,2.43988)
 [1.44743,2.43988)
 [1.44743,2.43988)
 [1.44743,2.43988)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
persistence intervals in dim 2:
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,6.07741)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
