radius,betti0_Snapshot,spec0_Snapshot
0.0000,60,0.0000
0.1000,60,0.0000
0.1414,60,0.0000
0.1732,60,0.0000
0.2000,60,0.0000
0.2236,60,0.0000
0.2449,60,0.0000
0.2646,60,0.0000
0.2828,60,0.0000
0.3000,60,0.0000
0.3162,60,0.0000
0.3317,60,0.0000
0.3464,60,0.0000
0.3606,60,0.0000
0.3742,60,0.0000
0.3873,60,0.0000
0.4000,60,0.0000
0.4123,60,0.0000
0.4243,60,0.0000
0.4359,60,0.0000
0.4472,60,0.0000
0.4583,60,0.0000
0.4690,60,0.0000
0.4796,60,0.0000
0.4899,60,0.0000
0.5000,60,0.0000
0.5099,60,0.0000
0.5196,60,0.0000
0.5292,60,0.0000
0.5385,60,0.0000
0.5477,60,0.0000
0.5568,60,0.0000
0.5657,60,0.0000
0.5745,60,0.0000
0.5831,60,0.0000
0.5916,60,0.0000
0.6000,60,0.0000
0.6083,60,0.0000
0.6164,60,0.0000
0.6245,60,0.0000
0.6325,60,0.0000
0.6403,60,0.0000
0.6481,60,0.0000
0.6557,60,0.0000
0.6633,60,0.0000
0.6708,60,0.0000
0.6782,60,0.0000
0.6856,60,0.0000
0.6928,60,0.0000
0.7000,60,0.0000
0.7071,60,0.0000
0.7141,60,0.0000
0.7211,60,0.0000
0.7280,60,0.0000
0.7348,60,0.0000
0.7416,60,0.0000
0.7483,60,0.0000
0.7550,60,0.0000
0.7616,60,0.0000
0.7681,60,0.0000
0.7746,60,0.0000
0.7810,60,0.0000
0.7874,60,0.0000
0.7937,60,0.0000
0.8000,60,0.0000
0.8062,60,0.0000
0.8124,60,0.0000
0.8185,60,0.0000
0.8246,60,0.0000
0.8307,60,0.0000
0.8367,60,0.0000
0.8426,60,0.0000
0.8485,60,0.0000
0.8544,60,0.0000
0.8602,60,0.0000
0.8660,60,0.0000
0.8718,60,0.0000
0.8775,60,0.0000
0.8832,60,0.0000
0.8888,60,0.0000
0.8944,60,0.0000
0.9000,60,0.0000
0.9055,60,0.0000
0.9110,60,0.0000
0.9165,60,0.0000
0.9220,60,0.0000
0.9274,60,0.0000
0.9327,60,0.0000
0.9381,60,0.0000
0.9434,60,0.0000
0.9487,60,0.0000
0.9539,60,0.0000
0.9592,60,0.0000
0.9644,60,0.0000
0.9695,60,0.0000
0.9747,60,0.0000
0.9798,60,0.0000
0.9849,60,0.0000
0.9899,60,0.0000
0.9950,60,0.0000
1.0000,60,0.0000
1.0050,60,0.0000
1.0100,60,0.0000
1.0149,60,0.0000
1.0198,60,0.0000
1.0247,60,0.0000
1.0296,60,0.0000
1.0344,60,0.0000
1.0392,60,0.0000
1.0440,60,0.0000
1.0488,60,0.0000
1.0536,60,0.0000
1.0583,60,0.0000
1.0630,60,0.0000
1.0677,60,0.0000
1.0724,60,0.0000
1.0770,60,0.0000
1.0817,60,0.0000
1.0863,60,0.0000
