point cloud with 60 points in dimension 3
value range: [1.36957,7.03462]
sparse distance matrix with 60 points and 1480/1799 entries
persistence intervals in dim 0:
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.36957)
 [0,1.3696)
 [0,1.3696)
 [0,1.3696)
 [0,1.3696)
 [0,1.3696)
 [0,1.37659)
 [0,1.37659)
 [0,1.44163)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.4474)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0,1.44743)
 [0, )
persistence intervals in dim 1:
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.43988)
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.43988)
 [1.44743,2.15255)
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.34198)
 [1.44743,2.43988)
 [1.44743,2.43988)
 [1.44743,2.34198)
 [1.44743,2.43988)
 [1.44743,2.43988)
 [1.44743,2.43988)
 [1.44743,2.43988)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43992)
 [1.44743,2.43989)
 [1.44743,2.43989)
persistence intervals in dim 2:
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43993,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,5.73215)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.817)
 [2.43992,2.71192)
 [2.43992,2.71192)
